154##请定位降地锁地方##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '请定位降地锁地方', 'queryRewrite': '请定位降地锁地方', 'queryCorrection': '请定位降地锁地方', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '请定位降地锁地方', 'queryCorrectionScene': '请定位降地锁地方', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
165##请找充电桩解锁界面##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '请找充电桩解锁界面', 'queryRewrite': '请找充电桩解锁界面', 'queryCorrection': '请找充电桩解锁界面', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '请找充电桩解锁界面', 'queryCorrectionScene': '请找充电桩解锁界面', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
166##请找充电桩解锁设置##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '请找充电桩解锁设置', 'queryRewrite': '请找充电桩解锁设置', 'queryCorrection': '请找充电桩解锁设置', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '请找充电桩解锁设置', 'queryCorrectionScene': '请找充电桩解锁设置', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
167##请找充电桩详情页所在界面##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '请找充电桩详情页所在界面', 'queryRewrite': '请找充电桩详情页所在界面', 'queryCorrection': '请找充电桩详情页所在界面', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '请找充电桩详情页所在界面', 'queryCorrectionScene': '请找充电桩详情页所在界面', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
168##请找充电桩详情页界面##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '请找充电桩详情页界面', 'queryRewrite': '请找充电桩详情页界面', 'queryCorrection': '请找充电桩详情页界面', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '请找充电桩详情页界面', 'queryCorrectionScene': '请找充电桩详情页界面', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
169##请找充电桩详情页页面##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '请找充电桩详情页页面', 'queryRewrite': '请找充电桩详情页页面', 'queryCorrection': '请找充电桩详情页页面', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '请找充电桩详情页页面', 'queryCorrectionScene': '请找充电桩详情页页面', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
170##请找充电桩降地锁地方##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '请找充电桩降地锁地方', 'queryRewrite': '请找充电桩降地锁地方', 'queryCorrection': '请找充电桩降地锁地方', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '请找充电桩降地锁地方', 'queryCorrectionScene': '请找充电桩降地锁地方', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
171##请找充电桩降地锁所在界面##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '请找充电桩降地锁所在界面', 'queryRewrite': '请找充电桩降地锁所在界面', 'queryCorrection': '请找充电桩降地锁所在界面', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '请找充电桩降地锁所在界面', 'queryCorrectionScene': '请找充电桩降地锁所在界面', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
172##请找充电桩降锁位置##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '请找充电桩降锁位置', 'queryRewrite': '请找充电桩降锁位置', 'queryCorrection': '请找充电桩降锁位置', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '请找充电桩降锁位置', 'queryCorrectionScene': '请找充电桩降锁位置', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
173##请找充电桩降锁所在界面##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '请找充电桩降锁所在界面', 'queryRewrite': '请找充电桩降锁所在界面', 'queryCorrection': '请找充电桩降锁所在界面', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '请找充电桩降锁所在界面', 'queryCorrectionScene': '请找充电桩降锁所在界面', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
174##请找充电桩降锁页面##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '请找充电桩降锁页面', 'queryRewrite': '请找充电桩降锁页面', 'queryCorrection': '请找充电桩降锁页面', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '请找充电桩降锁页面', 'queryCorrectionScene': '请找充电桩降锁页面', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
175##请找充电站详情页地方##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '请找充电站详情页地方', 'queryRewrite': '请找充电站详情页地方', 'queryCorrection': '请找充电站详情页地方', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '请找充电站详情页地方', 'queryCorrectionScene': '请找充电站详情页地方', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
176##请找充电站详情页界面##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '请找充电站详情页界面', 'queryRewrite': '请找充电站详情页界面', 'queryCorrection': '请找充电站详情页界面', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '请找充电站详情页界面', 'queryCorrectionScene': '请找充电站详情页界面', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
177##请找充电站详情页页面##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '请找充电站详情页页面', 'queryRewrite': '请找充电站详情页页面', 'queryCorrection': '请找充电站详情页页面', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '请找充电站详情页页面', 'queryCorrectionScene': '请找充电站详情页页面', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
178##请找到充电桩解地锁位置##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '请找到充电桩解地锁位置', 'queryRewrite': '请找到充电桩解地锁位置', 'queryCorrection': '请找到充电桩解地锁位置', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '请找到充电桩解地锁位置', 'queryCorrectionScene': '请找到充电桩解地锁位置', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
179##请找到充电桩解地锁所在界面##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '请找到充电桩解地锁所在界面', 'queryRewrite': '请找到充电桩解地锁所在界面', 'queryCorrection': '请找到充电桩解地锁所在界面', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '请找到充电桩解地锁所在界面', 'queryCorrectionScene': '请找到充电桩解地锁所在界面', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
180##请找到充电桩解地锁设置##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '请找到充电桩解地锁设置', 'queryRewrite': '请找到充电桩解地锁设置', 'queryCorrection': '请找到充电桩解地锁设置', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '请找到充电桩解地锁设置', 'queryCorrectionScene': '请找到充电桩解地锁设置', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
181##请找到充电桩解锁地方##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '请找到充电桩解锁地方', 'queryRewrite': '请找到充电桩解锁地方', 'queryCorrection': '请找到充电桩解锁地方', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '请找到充电桩解锁地方', 'queryCorrectionScene': '请找到充电桩解锁地方', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
182##请找到充电桩解锁界面##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '请找到充电桩解锁界面', 'queryRewrite': '请找到充电桩解锁界面', 'queryCorrection': '请找到充电桩解锁界面', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '请找到充电桩解锁界面', 'queryCorrectionScene': '请找到充电桩解锁界面', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
183##请找到充电桩解锁设置##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '请找到充电桩解锁设置', 'queryRewrite': '请找到充电桩解锁设置', 'queryCorrection': '请找到充电桩解锁设置', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '请找到充电桩解锁设置', 'queryCorrectionScene': '请找到充电桩解锁设置', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
184##请找到充电桩详情页位置##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '请找到充电桩详情页位置', 'queryRewrite': '请找到充电桩详情页位置', 'queryCorrection': '请找到充电桩详情页位置', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '请找到充电桩详情页位置', 'queryCorrectionScene': '请找到充电桩详情页位置', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
185##请找到充电桩详情页所在界面##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '请找到充电桩详情页所在界面', 'queryRewrite': '请找到充电桩详情页所在界面', 'queryCorrection': '请找到充电桩详情页所在界面', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '请找到充电桩详情页所在界面', 'queryCorrectionScene': '请找到充电桩详情页所在界面', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
186##请找到充电桩详情页设置##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '请找到充电桩详情页设置', 'queryRewrite': '请找到充电桩详情页设置', 'queryCorrection': '请找到充电桩详情页设置', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '请找到充电桩详情页设置', 'queryCorrectionScene': '请找到充电桩详情页设置', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
187##请找到充电桩降地锁位置##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '请找到充电桩降地锁位置', 'queryRewrite': '请找到充电桩降地锁位置', 'queryCorrection': '请找到充电桩降地锁位置', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '请找到充电桩降地锁位置', 'queryCorrectionScene': '请找到充电桩降地锁位置', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
188##请找到充电桩降地锁所在界面##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '请找到充电桩降地锁所在界面', 'queryRewrite': '请找到充电桩降地锁所在界面', 'queryCorrection': '请找到充电桩降地锁所在界面', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '请找到充电桩降地锁所在界面', 'queryCorrectionScene': '请找到充电桩降地锁所在界面', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
189##请找到充电桩降地锁设置##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '请找到充电桩降地锁设置', 'queryRewrite': '请找到充电桩降地锁设置', 'queryCorrection': '请找到充电桩降地锁设置', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '请找到充电桩降地锁设置', 'queryCorrectionScene': '请找到充电桩降地锁设置', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
190##请找到充电桩降锁地方##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '请找到充电桩降锁地方', 'queryRewrite': '请找到充电桩降锁地方', 'queryCorrection': '请找到充电桩降锁地方', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '请找到充电桩降锁地方', 'queryCorrectionScene': '请找到充电桩降锁地方', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
191##请找到充电桩降锁所在界面##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '请找到充电桩降锁所在界面', 'queryRewrite': '请找到充电桩降锁所在界面', 'queryCorrection': '请找到充电桩降锁所在界面', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '请找到充电桩降锁所在界面', 'queryCorrectionScene': '请找到充电桩降锁所在界面', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
192##请找到充电桩降锁页面##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '请找到充电桩降锁页面', 'queryRewrite': '请找到充电桩降锁页面', 'queryCorrection': '请找到充电桩降锁页面', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '请找到充电桩降锁页面', 'queryCorrectionScene': '请找到充电桩降锁页面', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
193##请找到充电站详情页地方##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '请找到充电站详情页地方', 'queryRewrite': '请找到充电站详情页地方', 'queryCorrection': '请找到充电站详情页地方', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '请找到充电站详情页地方', 'queryCorrectionScene': '请找到充电站详情页地方', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
194##请找到充电站详情页所在界面##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '请找到充电站详情页所在界面', 'queryRewrite': '请找到充电站详情页所在界面', 'queryCorrection': '请找到充电站详情页所在界面', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '请找到充电站详情页所在界面', 'queryCorrectionScene': '请找到充电站详情页所在界面', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
195##请找到充电站详情页设置##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '请找到充电站详情页设置', 'queryRewrite': '请找到充电站详情页设置', 'queryCorrection': '请找到充电站详情页设置', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '请找到充电站详情页设置', 'queryCorrectionScene': '请找到充电站详情页设置', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
196##请找到地锁位置##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '请找到地锁位置', 'queryRewrite': '请找到地锁位置', 'queryCorrection': '请找到地锁位置', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '请找到地锁位置', 'queryCorrectionScene': '请找到地锁位置', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
197##请找到地锁所在界面##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '请找到地锁所在界面', 'queryRewrite': '请找到地锁所在界面', 'queryCorrection': '请找到地锁所在界面', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '请找到地锁所在界面', 'queryCorrectionScene': '请找到地锁所在界面', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
198##请找到地锁页面##navigation##navigation_charging_unlock##{}##{'code': 10000, 'msg': 'ok', 'data': {'query': '请找到地锁页面', 'queryRewrite': '请找到地锁页面', 'queryCorrection': '请找到地锁页面', 'domains': [{'domainName': 'navigation', 'domainConfidence': 1.0, 'intents': [{'intentName': 'navigation_charging_unlock', 'intentConfidence': 1.0, 'slots': []}]}], 'sceneIntents': [], 'queryRewriteScene': '请找到地锁页面', 'queryCorrectionScene': '请找到地锁页面', 'dynamicSceneIntents': [], 'source': 'template, 场景NLU、场景KG均无结果'}}
